company_id,company_name,sector,revenue_usd_mn,carbon_emissions_tCO2,emission_intensity_tCO2_per_mn_usd,energy_mix_renewable_pct,fines_count,fines_amount_usd_k,public_sentiment_score,esg_score_reported,gri_compliance_pct,waste_generated_tons,waste_recycled_pct
CMP100000,"Rodriguez, Figueroa and Sanchez",Retail,8.721,106.598,16.0464,23.83,1,20.3,0.903,65.3,50.82,414.17,35.82
CMP100001,Doyle Ltd,Transport,1.774,660.6814999999999,84.3515,12.24,3,18.82,0.914,67.94,61.15,167.51,28
CMP100002,"Mcclain, Miller and Henderson",Energy,16.107,1289.019,101.9488,21.5,0,0,0.935,63.97,50.6,2112.2,36.32
CMP100003,Davis and Sons,Retail,42.548,426.303,10.0193,0,6,53.98,0.744,45.12,34.86,2211.35,30.02
CMP100004,"Guzman, Hoffman and Baldwin",Manufacturing,37.177,1443.803,45.7046,15.03,0,0,0.839,64.41,55.36,3206.17,36.88
CMP100005,"Gardner, Robinson and Lawrence",Tech,71.063,419.107,8.9521,34.12,4,108.85,0.967,67.76,59.96,1225.69,44.22
CMP100006,Blake and Sons,Retail,90.175,765.696,11.1081,23.56,4,27.4,0.807,67.7,20.13,3711.75,32.91
CMP100007,"Henderson, Ramirez and Lewis",Retail,285.185,3356.604,16.1162,26.97,1,2.64,0.981,76.04,62.82,16347.81,40.25
CMP100008,Garcia-James,Manufacturing,60.445,2937.404,63.8568,23.9,0,0,0.95,75.04,61.02,6288.98,36.63
CMP100009,Abbott-Munoz,Energy,6.558,708.286,123.8104,12.77,2,4.24,0.899,54.64,45.12,852.46,23.27
CMP100010,Blair PLC,Retail,45.108,284.785,7.8046,19.11,1,7.2,0.97,84.16,58.55,1822.89,37.68
CMP100011,Dudley Group,Manufacturing,1.651,110.187,92.3809,22.3,0,0,0.915,60.02,41.28,196.13,33.75
CMP100012,Arnold Ltd,Manufacturing,66.969,1926.159,45.142,36.29,0,0,0.99,86.4,90.11,7587.43,46.64
CMP100013,"Mcclure, Ward and Lee",Tech,13.952,62.674,7.7131,41.76,2,27.39,0.99,78.54,54.14,246.93,32.8
CMP100014,Williams and Sons,Retail,4.252,62.646,18.7518,21.43,0,0,0.972,67.36,73.04,185.54,33.49
CMP100015,Galloway-Wyatt,Transport,69.489,5312.364,95.0915,19.6,0,0,0.989,62.4,62.24,4855.12,41.63
CMP100016,James Group,Finance,79.95,173.761,2.8427,23.55,4,9.54,0.793,63.93,55.74,736.9,35.66
CMP100017,"Flowers, Martin and Kelly",Transport,32.664,2553.7,86.8298,9.96,2,35.35,0.99,62.56,48.39,2639,35.08
CMP100018,"Adams, Zuniga and Wong",Energy,3.897,394.139,129.8167,22.08,2,24.53,0.93,65.21,63.88,454.91,37.33
CMP100019,"Reid, Ferguson and Sanchez",Energy,10.9,1249.94,141.3033,18.84,2,16.21,0.926,55.13,58.41,1198.77,35.6
CMP100020,Gray-Mayo,Energy,54.728,3022.042,65.9434,16.26,1,11.8,0.886,63.53,58.78,6861.19,39.7
CMP100021,"Watts, Robinson and Nguyen",Tech,8.306,50.512,8.33,26.99,0,0,0.99,70.36,95.52,142.17,41.92
CMP100022,Perez Inc,Transport,50.668,5661.887,111.7438,0,2,8.87,0.967,56.87,44.13,3716.43,29.31
CMP100023,Morales-Jones,Retail,6.893,81.228,11.7842,0,1,17.12,0.868,63.93,76.72,326.23,33.03
CMP100024,"Walter, Edwards and Rios",Transport,102.972,8093.342,98.4892,20.2,2,77.05,0.967,64.96,77.08,8093.01,37.28
CMP100025,Wilkerson-Day,Retail,17.131,262.486,22.9242,33.16,0,0,0.995,79.16,63.29,954.26,37.74
CMP100026,Baker and Sons,Manufacturing,36.009,2102.389,61.7028,22.3,2,28.65,0.953,63.37,62.45,3168.32,38.06
CMP100027,"Hoffman, Baker and Richards",Manufacturing,14.839,769.001,51.8244,0,0,0,0.771,60.82,26.84,1492.35,22.97
CMP100028,"Ross, Robinson and Bright",Manufacturing,15.695,1098.948,74.2802,5.73,3,94.74,0.625,57.09,60.57,1627.52,39.54
CMP100029,"Snyder, Campos and Callahan",Transport,5.255,551.312,115.7484,9.36,1,17.42,0.87,78.16,48.85,344.13,27.17
CMP100030,Burton Ltd,Tech,48.862,226.459,8.194,43.44,1,13.4,0.978,67.7,52.29,1019.28,38.21
CMP100031,Carlson-Cruz,Energy,291.897,25123.386,122.7022,29.85,2,16.05,0.96,69.03,75.24,30411.34,38.82
CMP100032,"Ferrell, Rice and Maddox",Transport,132.32,9931.282,75.0549,0,0,0,0.979,67.7,54.66,8743.92,38.17
CMP100033,Frazier Inc,Transport,23.04,660.6814999999999,74.6473,22.3,0,0,0.958,56.99,56.82,2174.15,36.81
CMP100034,"Dyer, Potter and Mack",Transport,17.131,1563.92,91.2918,0,4,12.71,0.769,56.62,47.48,1625.74,34.66
CMP100035,Rodriguez-Graham,Energy,14.265,2015.041,163.1026,22.3,2,7.33,0.718,67.7,42.22,1922.97,25.48
CMP100036,Smith-Bowen,Retail,2.589,27.158,12.1533,13.69,4,34.35,0.964,72.93,64.05,119.33,36.88
CMP100037,"Baker, Mason and White",Manufacturing,7.553,536.644,80.9939,12.28,3,14.17,0.889,63.64,72.21,633.75,41.35
CMP100038,Harrell LLC,Energy,4.888,482.694,120.1573,17.81,3,23.23,0.861,56.96,41.11,629.79,32.2
CMP100039,"Romero, Gonzalez and Brooks",Transport,49.558,3970.943,89.9632,10.93,2,9.65,0.98,74.3,45.92,3869.73,36.7
CMP100040,Ryan PLC,Transport,10.403,1027.334,113.8146,13.23,1,1.27,0.98,64.8,51.25,706.42,30.31
CMP100041,George Group,Retail,43.124,803.509,18.6324,0,3,42.28,0.72,57.36,51.92,2152.04,37.43
CMP100042,Rodriguez LLC,Tech,28.574,92.61,5.7975,44.1,1,12.03,0.984,67.7,58.78,465.04,52.07
CMP100043,Allen-Allen,Tech,18.104,57.863,7.5283,57.54,1,6.84,0.981,85.77,84.81,421.36,46.66
CMP100044,"Arroyo, Miller and Tucker",Tech,14.301,58.302,7.7753,22.3,2,11.85,0.992,70.52,60.82,258.42,34.4
CMP100045,Spence PLC,Transport,238.403,24055.111,102.9725,2.01,2,20.17,0.825,67.7,58.78,20312.11,39.42
CMP100046,Anderson Group,Finance,45.237,77.724,2.1346,19.51,1,9.09,0.995,66.79,77.95,418.3,47.39
CMP100047,"Martin, Rose and Obrien",Transport,205.974,12156.138,66.662,11.47,1,6.11,0.92,78.08,68.48,16610.19,33.38
CMP100048,Hickman Ltd,Transport,15.792,1843.663,116.748,0,0,0,0.988,60.52,61.96,1286.96,30.29
CMP100049,"Harris, Collins and Carney",Transport,37.308,1682.138,52.4384,14.02,1,12.72,0.613,67.7,44.16,2608.4,30.23
CMP100050,"Brooks, Lam and Hayes",Energy,5.317,298.55,85.8257,34.57,1,9.66,0.928,68.44,61.6,757.89,32.51
CMP100051,Walker LLC,Finance,582.806,1395.273,3.3134,27.75,5,43.34,0.954,67.7,71.12,6469.46,35.18
CMP100052,Chapman and Sons,Finance,18.446,49.786,3.8451,29.81,2,9.7,0.95,77.7,57.87,216.89,32.52
CMP100053,"Robinson, Jones and Welch",Transport,44.711,1436.722,37.6571,22.3,2,66.95,0.922,62.81,44.66,4141.78,29.55
CMP100054,Jones Inc,Transport,40.376,2503.319,70.3168,11.83,5,24.76,0.909,51.72,38.36,3356.57,29.86
CMP100055,Jones-Young,Tech,20.338,37.034,3.5104,48.13,1,14.52,0.931,89.76,100,475.4,50.8
CMP100056,"Washington, Ryan and Cummings",Finance,94.022,176.942,3.8618,51.27,0,0,0.972,75.77,54.63,785.46,48.93
CMP100057,"Johnston, Sanchez and Kennedy",Manufacturing,41.126,1365.094,56.9573,41.72,4,30.98,0.983,73.81,54.83,3612.48,34.32
CMP100058,Lee-Davis,Transport,22.306,1805.584,80.9449,0,2,9.62,0.961,51.12,58.07,1459.87,36.54
CMP100059,Gomez-Jenkins,Manufacturing,9.83,711.202,72.3476,0,1,7.95,0.92,67.04,58.78,914.32,30.69
CMP100060,"Brown, Valdez and Lucas",Tech,58.325,431.176,10.0777,26.64,1,3.68,0.944,63.44,61.83,1114.56,37.45
CMP100061,Powell LLC,Retail,12.693,156.105,15.0026,18.03,1,8.66,0.935,69.47,45.47,576.6,36.07
CMP100062,Wright and Sons,Finance,5.927,660.6814999999999,3.7652,52.58,0,0,0.966,95.13,74.56,100,39.81
CMP100063,"West, Henderson and Ramirez",Transport,8.06,720.086,96.5215,7.44,2,11.45,0.952,67.7,36.32,607.85,30.66
CMP100064,Baxter Inc,Energy,4.725,404.662,120.7671,29.09,1,1.8,0.992,72.14,58.78,517.32,38.41
CMP100065,Morton-Chase,Tech,87.938,493.675,8.4693,33.72,1,9.51,0.803,66.87,53.63,1788.8,39.93
CMP100066,Williams PLC,Manufacturing,43.498,2645.988,75.0765,18.98,1,4.45,0.915,70.05,50.46,3725.04,35.33
CMP100067,Novak and Sons,Finance,42.658,85.323,3.0232,33.84,4,44.05,0.966,67.7,95.86,478.14,58.22
CMP100068,Russell Group,Tech,9.456,46.866,8.5946,42.33,2,27.55,0.972,85.93,66.81,156.94,38.64
CMP100069,Hancock Inc,Transport,18.86,660.6814999999999,126.462,11.32,1,35.53,0.953,64.35,52.16,1802.65,30.04
CMP100070,Gray Group,Manufacturing,61.633,3820.647,62.8015,1.29,1,3.47,0.681,47.7,36.67,6834.47,24.48
CMP100071,House-Glover,Tech,28.411,61.668,4.4904,51.66,1,6.53,0.973,84.62,74.2,499.74,42.39
CMP100072,Henderson-Bernard,Energy,41.092,5820.311,179.2508,20.98,1,7.05,0.896,66.4,65.89,3955.72,34.19
CMP100073,"Stanley, Tucker and Lee",Manufacturing,22.889,660.6814999999999,69.9561,2.09,1,20.29,0.98,68.19,70.11,2577.72,40.39
CMP100074,Novak PLC,Energy,45.625,3367.067,111.5005,33.81,1,8.35,0.932,80.79,44.76,5928.02,42.82
CMP100075,"Daniels, Adkins and Brown",Energy,26.276,3245.108,160.7057,23.15,1,5.16,0.979,51.94,79.61,3441.95,37.7
CMP100076,"Woods, Calhoun and Schmidt",Tech,11.859,21.381,8.1593,77.9,0,0,0.993,86.54,100,262.92,51.42
